Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Liver Disorders,5/14/1990,N/A,Multivariate,Health and Medicine,Regression,"Categorical, Integer, Real",345,5
Online News Popularity,5/30/2015,N/A,Multivariate,Business,"Classification, Regression","Integer, Real",39797,58
Letter Recognition,12/31/1990,N/A,Multivariate,Computer Science,Classification,Integer,20000,16
Productivity Prediction of Garment Employees,8/2/2020,N/A,"Multivariate, Time-Series",Business,"Classification, Regression","Integer, Real",1197,14
Raisin,8/13/2023,N/A,Multivariate,Biology,Classification,"Real, Integer",900,7
Hepatitis,10/31/1988,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Integer, Real",155,19
Early Stage Diabetes Risk Prediction,7/11/2020,N/A,Multivariate,Computer Science,Classification,"Categorical, Integer",520,16
Drug Reviews (Drugs.com),10/3/2018,N/A,"Multivariate, Text",Health and Medicine,"Classification, Regression, Clustering",Integer,215063,6
Combined Cycle Power Plant,3/25/2014,N/A,Multivariate,Computer Science,Regression,Real,9568,4
National Poll on Healthy Aging (NPHA),12/5/2023,N/A,Tabular,Health and Medicine,Classification,Categorical,714,14
Drug Consumption (Quantified),10/16/2016,N/A,Multivariate,Social Science,Classification,Real,1885,12
Myocardial infarction complications,12/8/2020,N/A,Multivariate,Health and Medicine,Classification,Real,1700,111
Internet Advertisements,6/30/1998,N/A,Multivariate,Computer Science,Classification,"Categorical, Integer, Real",3279,1558
Sentiment Labelled Sentences,5/29/2015,N/A,Text,Other,Classification,-,3000,-
Ionosphere,12/31/1988,N/A,Multivariate,Physics and Chemistry,Classification,"Integer, Real",351,34
WESAD (Wearable Stress and Affect Detection),Linked on 9/13/2018,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Regression",Real,63000000,-
RT-IoT2022,1/4/2024,N/A,"Tabular, Sequential, Multivariate",Engineering,"Classification, Regression, Clustering","Real, Categorical",123117,83
Maternal Health Risk,8/14/2023,N/A,Multivariate,Health and Medicine,Classification,"Real, Integer",1013,6
Parkinsons Telemonitoring,10/28/2009,N/A,Tabular,Health and Medicine,Regression,"Integer, Real",5875,19
"Connectionist Bench (Sonar, Mines vs. Rocks)",N/A,N/A,Multivariate,Physics and Chemistry,Classification,Real,208,60
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset,9/21/2023,N/A,Tabular,Health and Medicine,Classification,"Real, Categorical, Integer",6287,7
AIDS Clinical Trials Group Study 175,Linked on 9/25/2023,N/A,"Tabular, Multivariate",Health and Medicine,"Classification, Regression","Categorical, Integer",2139,23
Water Quality Prediction,5/14/2022,N/A,Other,Computer Science,Regression,-,705,-
Iranian Churn,4/8/2020,N/A,Multivariate,Business,"Classification, Regression",Integer,3150,13
Tic-Tac-Toe Endgame,8/18/1991,N/A,Multivariate,Games,Classification,Categorical,958,9
Cirrhosis Patient Survival Prediction,9/11/2023,N/A,Tabular,Health and Medicine,Classification,"Real, Categorical",418,17
PhiUSIIL Phishing URL (Website),3/3/2024,N/A,Tabular,Computer Science,Classification,"Real, Categorical, Integer",235795,54
Secondary Mushroom,8/13/2023,N/A,Tabular,Biology,Classification,Real,61068,20
ILPD (Indian Liver Patient Dataset),5/20/2012,N/A,Multivariate,Health and Medicine,Classification,"Integer, Real",583,10
Arrhythmia,12/31/1997,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Integer, Real",452,279
HCV data,6/9/2020,N/A,Multivariate,Health and Medicine,"Classification, Clustering","Integer, Real",615,12
MetroPT-3 Dataset,3/21/2023,N/A,"Tabular, Multivariate, Time-Series",Computer Science,Classification,Real,1516948,15
Cervical Cancer (Risk Factors),3/2/2017,N/A,Multivariate,Health and Medicine,Classification,"Integer, Real",858,36
Absenteeism at work,4/4/2018,N/A,"Multivariate, Time-Series",Business,"Classification, Clustering","Integer, Real",740,19
Risk Factor Prediction of Chronic Kidney Disease,8/14/2023,N/A,Multivariate,Health and Medicine,"Classification, Regression",Real,200,28
EEG Database,10/12/1999,N/A,"Multivariate, Time-Series",Health and Medicine,Classification,"Categorical, Integer, Real",122,-
Yeast,8/31/1996,N/A,Multivariate,Biology,Classification,Real,1484,8
Clickstream Data for Online Shopping,12/8/2019,N/A,"Multivariate, Sequential",Business,"Classification, Regression, Clustering","Integer, Real",165474,14
Land Mines,12/19/2022,N/A,"Tabular, Multivariate, Other",Engineering,"Classification, Clustering","Real, Integer",338,3
Statlog (Heart),N/A,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Real",270,13
Regensburg Pediatric Appendicitis,Linked on 12/6/2023,N/A,"Tabular, Image",Health and Medicine,Classification,"Real, Categorical, Integer",782,53
Glioma Grading Clinical and Mutation Features,12/13/2022,N/A,"Tabular, Multivariate",Health and Medicine,"Classification, Other","Real, Categorical, Integer",839,23
Taiwanese Bankruptcy Prediction,6/27/2020,N/A,Multivariate,Business,Classification,Integer,6819,95
Traffic Flow Forecasting,6/17/2021,N/A,Multivariate,Engineering,Regression,-,2101,-
Travel Reviews,12/18/2018,N/A,"Multivariate, Text",Other,"Classification, Clustering",Real,980,10
Fertility,1/16/2013,N/A,Multivariate,Health and Medicine,"Classification, Regression",Real,100,9
Poker Hand,12/31/2006,N/A,Multivariate,Games,Classification,"Categorical, Integer",1025010,10
Nursery,5/31/1997,N/A,Multivariate,Social Science,Classification,Categorical,12960,8
TCGA Kidney Cancers,Linked on 9/25/2023,N/A,"Tabular, Multivariate",Health and Medicine,"Classification, Clustering",Real,1024,60660
Dermatology,12/31/1997,N/A,Multivariate,Health and Medicine,Classification,"Categorical, Integer",366,34
Congressional Voting Records,4/26/1987,N/A,Multivariate,Social Science,Classification,Categorical,435,16
Differentiated Thyroid Cancer Recurrence,10/30/2023,N/A,Tabular,Health and Medicine,Classification,"Real, Categorical, Integer",383,16
Polish Companies Bankruptcy,4/10/2016,N/A,Multivariate,Business,Classification,Real,10503,65
Infrared Thermography Temperature,Linked on 11/20/2023,N/A,Tabular,Health and Medicine,Regression,"Real, Categorical",1020,33
Beijing Multi-Site Air Quality,9/19/2019,N/A,"Multivariate, Time-Series",Climate and Environment,Regression,"Integer, Real",420768,-
Room Occupancy Estimation,8/15/2023,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,10129,18
DARWIN,5/11/2022,N/A,Tabular,Health and Medicine,Classification,-,174,451
Statlog (Australian Credit Approval),N/A,N/A,Multivariate,Business,Classification,"Categorical, Integer, Real",690,14
Algerian Forest Fires,10/21/2019,N/A,Multivariate,Biology,"Classification, Regression",Real,244,14
SUPPORT2,Linked on 9/14/2023,N/A,"Tabular, Multivariate",Health and Medicine,"Classification, Regression, Other","Real, Categorical, Integer",9105,42
Product Classification and Clustering,8/6/2023,N/A,"Tabular, Text",Business,"Classification, Clustering, Other","Categorical, Integer",35311,7
Metro Interstate Traffic Volume,5/6/2019,N/A,"Multivariate, Sequential, Time-Series",Other,Regression,"Integer, Real",48204,8
Balance Scale,4/21/1994,N/A,Multivariate,Social Science,Classification,Categorical,625,4
Breast Cancer Wisconsin (Prognostic),11/30/1995,N/A,Multivariate,Health and Medicine,"Classification, Regression",Real,198,33
Solar Flare,2/28/1989,N/A,Multivariate,Physics and Chemistry,Regression,Categorical,1389,10
Cardiotocography,9/6/2010,N/A,Multivariate,Health and Medicine,Classification,Real,2126,21
Breast Cancer Coimbra,3/5/2018,N/A,Multivariate,Health and Medicine,Classification,Integer,116,9
SECOM,11/18/2008,N/A,Multivariate,Computer Science,"Classification, Causal-Discovery",Real,1567,591
PAMAP2 Physical Activity Monitoring,8/5/2012,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,3850505,-
Movie,7/6/1999,N/A,"Multivariate, Relational",Other,-,-,10000,-
In-Vehicle Coupon Recommendation,9/14/2020,N/A,Multivariate,Business,Classification,"Categorical, Integer",12684,25
Bar Crawl: Detecting Heavy Drinking,2/23/2020,N/A,"Multivariate, Time-Series",Health and Medicine,"Classification, Regression",Real,14057567,15
MHEALTH,12/6/2014,N/A,"Multivariate, Time-Series",Computer Science,Classification,Real,120,-
Blood Transfusion Service Center,10/2/2008,N/A,Multivariate,Business,Classification,Real,748,4
Daily and Sports Activities,7/7/2013,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Clustering",Real,9120,5625
Sales Transactions Weekly,7/15/2017,N/A,"Multivariate, Time-Series",Business,Clustering,"Integer, Real",811,106
Facebook Metrics,8/4/2016,N/A,Multivariate,Business,Regression,Integer,500,18
Ecoli,8/31/1996,N/A,Multivariate,Biology,Classification,Real,336,7
